source,target,type
Arié Alimi,Ligue des droits de l’homme,solid
Ariel Weil,Mairie de Paris,solid
Pierre Aidenbaum,Mairie de Paris,solid
Karen Taïeb,Mairie de Paris,solid
Ian Brossat,Mairie de Paris,solid
Patrick Klugman,Mairie de Paris,solid
Jean-Louis Missika,Mairie de Paris,solid
Paul Simondon,Mairie de Paris,solid
Sylvie Wieviorka,Mairie de Paris,solid
Grégoire Chertok,Mairie de Paris,solid
Jean-Michel Cohen,Médecine,solid
Martin Hirsch,Médecine,solid
Virginie Schwarz,Météo-France,solid
Jean-François Kahn,Mouvement démocrate,solid
Corinne Lepage,Mouvement démocrate,solid
Alain Krivine,Nouveau Parti anticapitaliste,solid
Daniel Bensaïd,Nouveau Parti anticapitaliste,solid
Audrey Azoulay,Organisation des Nations Unies,solid
Pascal Cherki,Parti socialiste,solid
Vincent Peillon,Parti socialiste,solid
Pierre Moscovici,Parti socialiste,solid
Adeline Hazan,Parti socialiste,solid
Jack Lang,Parti socialiste,solid
Robert Badinter,Parti socialiste,solid
Georges Kiejman,Juristes,solid
Laurent Fabius,Parti socialiste,solid
Henri Weber,Parti socialiste,solid
Danièle Hoffman-Rispal,Parti socialiste,solid
Dominique Strauss-Kahn,Parti socialiste,solid
Stéphane Fouks,Parti socialiste,solid
Julien Dray,Parti socialiste,solid
Pierre Joxe,Parti socialiste,solid
Maurice Lévy,Publicis,dotted
Arthur Sadoun,Publicis,solid
Élisabeth Badinter,Publicis,solid
Édouard Baer,Radio France,solid
Nicolas Demorand,Radio France,solid
Raphaël Enthoven,Radio France,solid
Alain Finkielkraut,Radio France,solid
Claude Askolovitch,Radio France,solid
Laure Adler,Radio France,solid
Laurence Bloch,Radio France,solid
Marc Kravetz,Radio France,solid
Serge Federbusch,Rassemblement national,solid
Stéphane Bern,RTL,solid
Esther Benbassa,Sénat,solid
Cécile Cukierman,Sénat,solid
Laurence Cohen,Sénat,solid
Michel Amiel,Sénat,solid
Roger Karoutchi,Sénat,solid
David Assouline,Sénat,solid
Patrick Kanner,Sénat,solid
Nathalie Goulet,Sénat,solid
Marek Halter,SOS Racisme,solid
André Bercoff,Sud Radio,solid
Pierre Bellanger,Skyrock,solid
Rudy Reichstadt,Conspiracy Watch,solid
Emmanuel Levy,NRJ,solid
Ginette Moulin,Galeries Lafayette,solid
Christiane Houzé,Galeries Lafayette,solid
Guillaume Houzé,Galeries Lafayette,solid
Mark Zuckerberg,Facebook,solid
Sheryl Sandberg,Facebook,solid
Reid Hoffman,LinkedIn,solid
Orit Gadiesh,Bain & Company,solid
Safra Catz,Oracle,solid
Larry Ellison,Oracle,solid
Travis Kalanick,Uber,solid
Alain Némarq,Mauboussin,solid
Robert Kraft,Kraft Group,solid
Axel Kahn,Comité consultatif national d'éthique,solid
Jean-François Delfraissy,Comité consultatif national d'éthique,solid
Sergueï Brin,Google,solid
Susan Wojcicki,Google,solid
Tristan Mendès France,Stop hate money,solid
Arié Bensemhoun,Journalistes,solid
Barry Diller,IAC,solid
Pierre Besnainou,Congrès juif européen,solid
Jacob Rothschild,Congrès juif mondial,solid
David de Rothschild,Congrès juif mondial,solid
Chella Safra,Congrès juif mondial,solid
Jack Terpins,Congrès juif mondial,solid
Robert Singer,Congrès juif mondial,solid
Claudio Epelman,Congrès juif mondial,solid
Élie Chouraqui,i24news,solid
Roger Cukierman,CRIF,solid
Ronald Lauder,Congrès juif mondial,solid
Joël Mergui,Consistoire central israélite de France,solid
Francis Kalifat,CRIF,solid
Ariel Goldmann,Fonds social juif unifié,solid
Valérie Maupas,CRIF,solid
Gérard Garçon,Tsédaka,solid
Philippe Meyer,B'nai B'rith,solid
Gil Taïeb,CRIF,solid
Michael Dell,Dell,solid
Viatcheslav Moshe Kantor,Congrès juif européen,solid
Alain Bauer,Grand Orient de France,solid
Alexandre Adler,Mouvement juif libéral de France,solid
Delphine Horvilleur,Mouvement juif libéral de France,solid
Alain Afflelou,Alain Afflelou (entreprise),solid
Agnès Jaoui,Acteurs,solid
David Solomon,Goldman Sachs,solid
Lloyd Blankfein,Goldman Sachs,dotted
Thierry Veil,Bagelstein,solid
Gilles Abecassis,Bagelstein,solid
Stéphane Israël,Arianespace,solid
Santiago Amigorena,Réalisateurs,solid
Samuel Benchetrit,Industrie culturelle,solid
Richard Malka,Juristes,solid
Raphaël Glucksmann,Parti socialiste,solid
Alain Weill,BFM,solid
Laurent Weil,Groupe Canal+,dotted
Alain Finkielkraut,Institut de France,solid
Lionel Abelanski,Acteurs,solid
Laurent Alexandre,Doctissimo,dotted
Paul Amar,i24news,solid
Frank Melloul,i24news,solid
Jacques Attali,L’Express,dotted
Éric Antoine,Humoristes,solid
Nora Arnezeder,Acteurs,solid
Françoise Atlan,Industrie musicale,solid
Sylvain Attal,France Télévisions,solid
Jean-Charles Banoun,i24news,solid
Élisabeth Lévy,Causeur,solid
Gil Mihaely,Causeur,solid
Gilles-William Goldnadel,Avocats sans frontières,solid
Gabriel Naouri,Groupe Casino,solid
Jean-Charles Naouri,Groupe Casino,solid
Étienne Moatti,Journalistes,solid
Franz-Olivier Giesbert,France Télévisions,solid
Frédéric Encel,LICRA,solid
Frédéric Haziza,Journalistes,solid
Jean-Paul Enthoven,Le Point,solid
Hervé Temime,Juristes,solid
Howard Schultz,Starbucks,solid
Jean-Claude Elfassi,Journalistes,solid
Jean-David Levitte,Institut de France,solid
Jean-Pierre Rosenczveig,Juristes,solid
Laurent Karila,Médecine,solid
William Lowenstein,Médecine,solid
Étienne-Émile Baulieu,Médecine,solid
Marin Karmitz,MK2,solid
Alain Wertheimer,Chanel,solid
Gérard Wertheimer,Chanel,solid
Marc Peschanski,Médecine,solid
Jean-Bernard Lévy,Électricité de France,solid
Marc Knobel,CRIF,solid
Vincent Lindon,Acteurs,solid
Alexandra Minkowski,Juristes,solid
Valéry Zeitoun,Industrie culturelle,solid
Ariel Wizman,Radio Nova,solid
Noémie Halioua,i24news,solid
Hélène Cixous,Industrie culturelle,solid
Pierre Haski,Reporters sans frontières,solid
Guy Sorman,Reporters sans frontières,solid
Bernard Guetta,La République en marche,solid
Géraldine Nakache,Acteurs,solid
Gabriel Matzneff,Industrie culturelle,solid
Frédéric Diefenthal,Acteurs,solid
Mathias Chichportich,Juristes,solid
David-Olivier Kaminski,Juristes,solid
David de Rothschild,Fondation pour la mémoire de la Shoah,solid
Daniel Hechter,Industrie de la mode,solid
Michaël Youn,Humoristes,solid
Éric de Rothschild,Fondation pour la mémoire de la Shoah,solid
Galia Ackerman,Journalistes,solid
Radu Mihaileanu,Réalisateurs,solid
Sylviane Agacinski,EHESS,dotted
Agnès Buzyn,Gouvernement,dotted
Frédéric Dabi,IFOP,solid
Daniel Lévy-Bruhl,Médecine,solid
Dan Cohen,SOS Racisme,solid
Elsa Fayer,Groupe TF1,solid
Bernard Sabbah,RTL,dotted
Jan Koum,Facebook,dotted
Bertrand Lebeau Leibovici,Médecine,solid
Olivier Rubinstein,Diplomates,solid
Joseph Stiglitz,Banque mondiale,dotted
Nicholas Stern,Banque mondiale,dotted
Jeffrey Sachs,Banque mondiale,dotted
Pierre Lévy,Diplomates,solid
Serge Klarsfeld,Fondation pour la mémoire de la Shoah,solid
Steeve Ruben,Juristes,solid
Georges Beller,France Télévisions,dotted
Ralph Lauren,Industrie de la mode,solid
Paul Lederman,Producteurs,solid
Jean-Luc Azoulay,Producteurs,solid
Zabou Breitman,Acteurs,solid
Olivier Wieviorka,Libération,solid
Nicole Guedj,Consistoire central israélite de France,solid
Michel Ciment,Radio France,solid
Michel Cicurel,Homme d’affaires,solid
Mcfly,Humoristes,solid
Carlito,Humoristes,solid
Vincent Bolloré,Homme d’affaires,solid
Lucian Grainge,Universal Music Group,solid
Serge Toubiana,Industrie culturelle,solid
Corinne Dreyfus-Schmidt,Juristes,solid
Roland Castro,Mairie de Paris,dotted
Jean-Michel Darrois,Juristes,solid
Bettina Rheims,Industrie culturelle,solid
Jean-Jacques Ohana,Homme d’affaires,solid
Patrick Partouche,Groupe Partouche,solid
Isidore Partouche,Groupe Partouche,solid
Iris Knobloch,Warner Bros.,solid
Francis Szpiner,Mairie de Paris,solid
Doris Fisher,Gap,solid
Éric Ghebali,SOS Racisme,dotted
Haïm Korsia,Institut de France,solid
Laurence Fink,BlackRock,solid
Patrick Klugman,UEJF,dotted
Noémie Madar,UEJF,solid
Sacha Ghozlan ,UEJF,solid
Patrick Klugman,CRIF,solid
Richard Prasquier,CRIF,solid
Gil Taïeb,Fonds social juif unifié,solid
Ben Cohen,Ben & Jerry's,solid
Jerry Greenfield,Ben & Jerry's,solid
Laurence Haïm,Groupe Canal+,dotted
André Azoulay,Diplomates,solid
Arnaud Spire,L’Humanité,solid
